time_in_ms,raw_err,err,raw_err_vel,err_vel,raw_inner_err,inner_err,raw_inner_err_vel,inner_err_vel,pwm_model,pwm_real
2106.44,1.26,22.09,-305.61,-178.51,68.41,60.74,1184.93,2149.52,-26.01,-131.34
2118.48,-3.58,18.24,-319.88,-192.65,75.15,70.11,778.55,1395.49,-22.53,-129.47
2130.5,0.57,15.59,-220.36,-195.42,66.69,67.89,-184.67,526.4,-16.12,-126.01
2142.52,0.57,13.34,-187.38,-194.62,33.67,45.65,-1850.35,-780.81,-1.29,0.00
2154.55,-3.58,10.8,-210.94,-196.25,4,18.58,-2250.69,-1589.25,7.55,121.38
2166.58,-8.42,7.92,-239.79,-200.6,-21.84,-7.7,-2185.06,-1916.94,14.64,125.21
2178.6,-16.04,4.32,-298.78,-210.42,-0.53,-3.04,387.43,-649.54,5.04,120.02
2190.62,-19.5,0.75,-297.32,-219.11,-0.12,-1.14,157.92,-205.44,1.10,0.00
2202.64,-19.5,-2.29,-252.56,-222.46,12.94,8.01,761.38,326.31,3.20,0.00
2214.64,-7.73,-3.1,-68.03,-207.01,0.11,2.88,-427.76,-88.43,3.52,0.00
2226.68,-3.58,-3.17,-5.93,-186.91,-19.77,-11.84,-1223.33,-712.63,7.10,121.13
2238.71,0.57,-2.61,46.72,-163.54,-25.22,-20.53,-722.59,-718.11,8.73,122.02
2250.74,0.57,-2.13,39.7,-143.22,-47.07,-37.78,-1432.96,-1111.27,14.62,125.19
2262.78,-3.58,-2.35,-18.01,-130.7,-58.9,-51.51,-1140.71,-1127.47,17.26,126.62
2274.79,-11.19,-3.68,-110.39,-128.67,-36.97,-42.06,786.44,-74.82,8.26,121.76
2286.82,-37.49,-8.75,-421.5,-157.95,28.25,3.64,3798.34,2055.42,-14.85,-125.32
2298.82,-3.58,-7.97,64.6,-135.69,3.51,3.56,-6.92,921.13,-7.01,-121.09
2310.86,4.72,-6.07,158.26,-106.3,-31.98,-19.54,-1919.08,-640.98,8.02,121.63
2322.88,0.57,-5.07,82.88,-87.38,-73.79,-54.81,-2933.9,-1902.09,23.21,129.83
2334.9,-3.58,-4.85,18.64,-76.78,-65.4,-61.69,-572.99,-1171.08,19.43,127.79
2346.93,-32.64,-9.02,-346.51,-103.75,-25.09,-37.9,1977.54,560.66,-1.82,0.00
2358.95,-32.64,-12.56,-294.93,-122.87,25.08,3.04,3407.03,2126.16,-15.23,-125.52
2370.98,4.72,-9.97,215.5,-89.03,-17.05,-10.02,-1085.33,359.84,3.50,0.00
2383.0,5.42,-7.66,192.06,-60.92,-52.55,-37.66,-2300.42,-1103.3,14.54,125.15
2395.02,-7.73,-7.67,-0.88,-54.92,-58.52,-51.22,-1127.01,-1116.34,17.13,126.55
2407.05,8.88,-5.19,206.44,-28.78,-92.6,-78.11,-2236.86,-1732.63,26.33,131.52
2419.05,8.88,-3.08,175.77,-8.33,-100.09,-92.4,-1190.04,-1434.21,26.90,131.82
2431.06,-3.58,-3.15,-6.25,-8.12,-100.06,-97.38,-414.66,-873.46,23.94,130.23
2443.1,13.72,-0.62,210.3,13.72,-110.29,-105.77,-697.25,-776.54,24.82,130.70
2455.13,13.03,1.42,170.14,29.36,-112.77,-110.32,-378.12,-557.41,24.15,130.34
2467.17,0.57,1.3,-10.62,25.37,-68.94,-83.42,2234.72,978.26,8.60,121.94
2479.18,17.18,3.68,198.42,42.67,-74.16,-77.4,501.55,716.07,9.30,122.32
2491.21,17.18,5.7,168.32,55.24,-73.49,-74.86,211.21,438.4,10.75,123.10
2503.23,17.18,7.43,143.21,64.03,-48.37,-57.64,1432.27,985.03,1.95,0.00
2515.23,22.02,9.62,182.42,75.87,-47.51,-51.06,548.85,745.13,-0.39,0.00
2527.26,9.57,9.61,-0.59,68.23,-20.13,-30.95,1671.41,1254.59,-2.52,0.00
2539.29,25.48,11.99,197.98,81.2,-21.01,-24.49,537.19,860.02,3.80,0.00
2551.31,25.48,14.01,168.4,89.92,-16.5,-19.29,432.27,624.76,-0.13,0.00
2563.32,13.72,13.97,-3.67,80.56,-7,-11.3,665.45,647.14,-0.72,0.00
2575.34,29.64,16.32,195.44,92.05,-26,-20.86,-794.82,-145.94,3.93,0.00
2587.35,34.48,19.04,226.86,105.53,-48.2,-38.63,-1480.13,-879.74,13.18,124.42
2599.39,22.02,19.49,37.13,98.69,-42.79,-41.34,-224.63,-519.43,11.19,123.34
2611.41,20.64,19.66,14.35,90.26,-15.2,-24.35,1413.93,543.92,3.77,0.00
2623.44,37.94,22.41,227.93,104.02,-37.74,-33.05,-723.71,-153.28,7.14,121.16
2635.45,37.94,24.74,193.99,113.02,-54.19,-46.79,-1143.98,-698.16,13.43,124.55
2647.46,29.64,25.47,61.22,107.84,-51.37,-49.76,-247.51,-450.3,12.26,123.92
2659.46,25.48,25.47,0.17,97.07,-40.6,-43.81,495.98,70.15,7.58,121.39
2671.49,42.09,27.97,207.19,108.09,-59.59,-54.07,-852.67,-437.4,12.97,124.30
2683.5,42.09,30.09,176.53,114.93,-53.51,-53.7,30.46,-180.08,11.12,123.31
2695.5,37.94,31.26,98.13,113.25,-55.6,-54.94,-102.53,-137.42,11.06,123.27
2707.5,33.79,31.64,31.57,105.08,-28.93,-38.03,1408.6,712.89,-2.67,0.00
2719.52,42.78,33.31,139.05,108.48,-37.68,-37.8,19.28,331.41,-4.64,0.00
2731.53,46.24,35.25,161.53,113.78,-49.19,-45.2,-616.42,-189.9,9.63,122.50
2743.54,46.94,37.01,146,117.01,-58.02,-53.53,-693.92,-467.11,13.07,124.36
2755.56,46.94,38.5,123.85,117.69,-63.47,-59.99,-536.95,-505.52,14.53,125.14
2767.57,37.94,38.41,-6.93,105.23,-31.03,-41.17,1567.78,634.8,3.62,0.00
2779.58,37.94,38.34,-5.89,94.12,-19.69,-27.21,1162.83,925.21,-1.69,0.00
2791.61,42.09,38.9,46.77,89.38,-16.76,-20.41,564.57,726.86,2.60,0.00
2803.63,50.4,40.63,143.37,94.78,-27.67,-25.13,-392.34,111.3,4.21,0.00
2815.64,54.55,42.72,173.89,102.69,-42.26,-36.27,-927.45,-460.01,9.85,122.62
2827.65,59.39,45.22,208.25,113.25,-60.83,-52.23,-1328.85,-937.87,16.08,125.98
2839.65,55.24,46.72,125.29,114.45,-66.84,-61.73,-791.38,-857.3,17.27,126.63
2851.68,50.4,47.27,45.82,107.59,-61.74,-61.74,-0.81,-386.23,14.02,124.87
2863.69,51.09,47.85,47.67,101.6,-37.87,-46.22,1291.91,536.75,-4.56,0.00
2875.7,49.7,48.12,23.23,93.76,-30.93,-36.28,827.8,696.82,4.94,0.00
2887.74,51.09,48.57,36.96,88.08,-26.67,-30.03,519.2,599.13,2.37,0.00
2899.75,46.94,48.32,-20.37,77.23,-15.04,-20.29,810.99,715.65,0.56,0.00
2911.79,50.4,48.64,25.83,72.09,-10.9,-14.18,507.24,601.02,-3.31,0.00
2923.8,51.09,49,30.63,67.95,-7.93,-10.12,338.39,456.57,-4.74,0.00
2935.84,50.4,49.21,17.37,62.89,-3.54,-5.84,355.25,400.85,-3.12,0.00
2947.84,51.09,49.49,23.46,58.95,-0.5,-2.37,289.5,339.6,-2.67,0.00
2959.85,42.78,48.49,-83.8,44.67,17,10.22,1048.26,729.37,-6.91,-121.03
2971.89,46.94,48.25,-19.32,38.27,24.14,19.27,751.56,741.57,-8.66,-121.98
2983.9,50.4,48.58,26.75,37.12,4.55,9.7,-796.29,-104.25,3.07,0.00
2995.92,50.4,48.85,22.72,35.68,-14.59,-6.09,-1313.85,-769.53,6.43,120.77
3007.93,46.94,48.56,-23.88,29.73,-7.72,-7.15,-88.19,-394.79,0.43,0.00
3019.96,50.4,48.84,22.88,29.04,-7.91,-7.65,-41.41,-200.43,3.37,0.00
3031.99,50.4,49.07,19.44,28.08,-7.7,-7.68,-3.06,-91.87,0.92,0.00
3044.03,55.24,50,76.89,32.96,-15.54,-12.79,-424.59,-274.87,-3.08,0.00
3056.06,58.7,51.3,108.51,40.52,-46.99,-35.02,-1847.38,-1139.75,14.31,125.03
3068.08,59.39,52.52,100.93,46.56,-56.91,-49.25,-1183.5,-1163.81,17.09,126.53
3080.11,55.24,52.92,33.99,45.3,-56.97,-54.27,-417.02,-753.08,15.18,125.50
3092.12,50.4,52.55,-31.56,37.62,-28.35,-37.42,1401.64,432.02,2.76,0.00
3104.16,50.4,52.22,-26.79,31.18,-1.17,-13.86,1958.45,1271.55,-6.22,-120.66
3116.16,46.94,51.43,-66.04,21.45,11.09,2.36,1350.43,1314.94,-9.51,-122.43
3128.16,51.09,51.38,-4.27,18.88,13.82,9.81,621.15,933.36,-8.25,-121.75
3140.19,46.24,50.61,-64.05,10.59,4.87,6.6,-267.09,273.11,-5.00,0.00
3152.2,34.48,48.19,-201.4,-10.61,14.1,11.47,405.79,346.09,-0.26,0.00
3164.23,38.63,46.76,-119.15,-21.46,29.54,23.22,975.96,692.52,-9.05,-122.19
3176.26,46.94,46.78,2.25,-19.09,27.08,25.73,208.91,426.53,-7.68,-121.45
3188.28,46.24,46.7,-6.72,-17.85,6.39,13.16,-1045.39,-383.03,2.79,0.00
3200.3,46.24,46.63,-5.71,-16.64,-14.32,-4.7,-1485.28,-989.27,7.69,121.45
3212.32,42.78,46.06,-48.05,-19.78,-9.33,-7.71,-250.34,-582.86,5.44,120.24
3224.34,42.78,45.57,-40.84,-21.89,-5.65,-6.37,111.25,-201.1,0.95,0.00
3236.38,37.94,44.42,-95,-29.2,25.03,14.04,1695.34,841.94,-8.39,-121.83
3248.41,34.48,42.93,-123.93,-38.67,39.28,30.44,1363.33,1128.7,-13.39,-124.53
3260.41,37.94,42.18,-62.35,-41.04,24.33,26.47,-331.16,325.78,-7.12,-121.14
3272.42,37.94,41.55,-53,-42.24,27.56,27.18,59.1,179.11,-6.24,-120.67
3284.42,42.09,41.63,6.83,-37.33,2.68,11.25,-1326.6,-649.03,-1.28,0.00
3296.44,46.24,42.32,57.63,-27.83,-28.75,-14.75,-2163.7,-1482.1,12.94,124.29
3308.46,46.24,42.91,48.95,-20.15,-38.31,-30.06,-1273.7,-1367.48,14.97,125.38
3320.5,37.94,42.16,-61.9,-24.33,-31.75,-31.16,-91.09,-665.47,10.32,122.88
