time_in_ms,offset,pwm_real
2008.51,-9.04,123.0
2020.52,-8.99,110.87
2032.54,-8.96,110.88
2044.57,-8.93,110.88
2056.59,-8.91,110.88
2068.64,-7.82,0.0
2080.67,-6.84,0.0
2092.71,-7.7,119.28
2104.71,-8.07,113.73
2116.72,-8.54,113.54
2128.73,-7.34,110.75
2140.75,-6.52,110.89
2152.75,-7.26,113.29
2164.76,-7.77,113.2
2176.77,-8.12,113.13
2188.79,-8.36,113.09
2200.8,-8.74,113.44
2212.81,-9.0,113.39
2224.83,-8.96,112.98
2236.85,-8.93,112.98
2248.88,-9.13,113.37
2260.89,-9.05,112.96
2272.91,-7.69,110.68
2284.93,-8.07,113.14
2296.94,-8.32,113.1
2308.96,-8.71,113.45
2320.99,-7.46,110.72
2333.03,-5.3,0.0
2345.05,-6.42,113.44
2357.06,-7.19,113.3
2369.07,-7.94,113.59
2381.08,-8.23,113.11
2393.1,-8.44,113.07
2405.12,-8.57,113.05
2417.13,-8.67,113.03
2429.15,-8.95,113.4
2441.16,-8.93,112.98
2453.19,-8.91,112.99
2465.22,-9.12,113.37
2477.25,-9.04,112.96
2489.27,-8.99,112.97
2501.3,-8.95,112.98
2513.33,-9.15,113.37
2525.36,-9.28,113.34
2537.38,-9.15,112.94
2549.4,-9.28,113.34
2561.43,-9.37,113.32
2573.47,-9.22,112.93
2585.49,-9.33,113.33
2597.51,-9.19,112.94
2609.54,-9.09,112.95
2621.56,-9.24,113.35
2633.58,-9.13,112.95
2645.6,-9.05,112.96
2657.62,-8.99,112.97
2669.62,-9.17,113.36
2681.64,-9.08,112.96
2693.66,-9.02,112.97
2705.68,-9.19,113.36
2717.71,-9.09,112.95
2729.73,-9.02,112.97
2741.75,-8.98,112.97
2753.77,-8.95,112.98
2765.8,-8.92,112.98
2777.83,-8.91,112.99
2789.85,-8.9,112.99
2801.87,-9.98,114.9
2813.88,-9.63,112.85
2825.9,-9.4,112.9
2837.91,-9.23,112.93
2849.94,-9.34,113.33
2861.97,-9.19,112.94
2874.01,-6.49,0.0
2886.02,-7.45,113.68
2898.04,-8.12,113.55
2910.05,-8.36,113.09
2922.06,-8.74,113.44
2934.07,-8.78,113.01
2946.08,-8.81,113.01
2958.11,-6.22,0.0
2970.15,-5.75,111.03
2982.16,-6.95,113.77
2994.16,-7.56,113.24
3006.18,-9.28,115.45
3018.2,-6.54,0.0
3030.24,-7.06,112.9
3042.24,-1.11,-112.45
3054.26,-2.24,119.44
3066.3,2.19,0.0
3078.32,0.02,114.25
3090.33,5.05,-111.75
3102.35,3.07,112.64
3114.36,7.14,-111.37
3126.37,7.33,0.0
3138.39,8.76,0.0
3150.42,17.56,-122.11
3162.46,15.78,0.0
3174.48,19.77,-116.65
3186.5,21.21,-113.86
3198.51,22.19,-113.68
3210.52,28.08,-122.73
3222.56,28.21,0.0
3234.59,36.12,-118.39
3246.63,34.81,110.8
3258.64,38.26,0.0
3270.69,37.8,112.6
3282.72,40.31,-112.26
3294.74,47.03,-121.34
3306.76,46.42,110.59
3318.76,52.53,-120.24
3330.8,51.5,111.13
3342.8,58.62,-114.31
3354.84,56.98,0.0
3366.84,64.77,-124.03
3378.86,62.5,112.25
3390.89,64.86,0.0
3402.91,64.96,0.0
3414.94,65.02,112.33
3426.98,68.98,-113.86
3439.0,66.7,0.0
3451.03,74.04,-121.12
3463.04,71.47,0.0
3475.08,77.53,-120.91
3487.11,80.17,-117.48
3499.14,79.59,-112.95
3511.19,87.01,-126.76
3523.19,86.89,0.0
3535.24,87.67,0.0
3547.28,92.56,-113.15
3559.29,90.69,112.96
3571.31,94.63,0.0
3583.32,97.33,-113.72
3595.34,95.27,114.88
3607.37,100.16,-115.8
3619.41,105.04,-110.63
3631.42,101.86,110.52
3643.42,104.9,0.0
3655.42,110.89,0.0
3667.45,110.88,0.0
3679.47,109.78,115.82
3691.49,109.02,110.54
3703.51,111.12,-116.64
3715.51,114.94,-115.57
3727.54,120.39,-111.76
3739.57,123.91,0.0
3751.59,125.24,110.77
3763.63,126.15,0.0
3775.64,127.86,-111.3
3787.65,126.64,-114.71
3799.67,126.9,-111.71
3811.67,125.77,0.0
3823.71,123.69,0.0
3835.74,123.56,0.0
3847.77,124.78,-119.26
3859.78,125.62,-114.05
3871.79,126.19,-113.41
3883.8,122.89,115.19
3895.83,118.02,114.28
3907.84,113.37,115.44
3919.85,113.88,0.0
3931.88,114.45,-113.98
3943.9,114.84,0.0
3955.92,110.1,114.73
3967.96,105.34,116.85
3980.0,107.06,0.0
3992.01,109.55,0.0
4004.03,107.35,112.59
4016.04,103.45,116.53
4028.07,104.46,0.0
4040.1,102.55,114.25
4052.14,97.33,120.88
4064.16,98.97,111.06
4076.18,94.87,112.68
4088.19,92.28,116.85
4100.23,93.11,112.47
4112.23,88.25,122.19
4124.26,91.65,-112.23
4136.26,84.85,123.53
4148.26,87.8,0.0
4160.29,80.69,126.29
4172.31,82.55,113.56
4184.31,74.7,129.86
4196.32,74.31,120.07
4208.34,70.35,126.52
4220.35,70.25,121.43
4232.38,63.44,133.26
4244.39,64.2,122.86
4256.4,60.59,122.45
4268.44,56.81,129.36
4280.46,59.44,112.48
4292.48,53.41,131.7
4304.48,49.5,123.33
4316.5,49.42,115.61
4328.52,44.15,114.85
4340.56,41.84,114.87
4352.56,41.56,-111.28
4364.59,37.46,112.8
4376.61,30.73,117.6
4388.64,27.42,112.42
4400.68,29.06,-118.92
4412.72,26.05,0.0
4424.72,20.3,110.24
4436.75,14.83,110.14
4448.79,12.6,0.0
4460.83,11.07,-111.89
4472.86,6.11,0.0
4484.88,4.01,0.0
4496.88,2.57,0.0
4508.9,-2.33,116.71
4520.94,-5.91,116.49
4532.98,-7.06,113.75
4545.0,-11.76,112.72
4557.03,-13.68,114.91
4569.04,-17.39,119.4
4581.07,-21.23,113.52
4593.1,-20.18,-110.34
4605.14,-25.76,120.66
4617.15,-29.8,120.94
4629.17,-32.36,112.34
4641.2,-36.94,122.06
4653.22,-37.47,0.0
4665.24,-43.05,116.14
4677.28,-45.36,110.6
4689.3,-51.07,115.46
4701.34,-52.16,0.0
4713.37,-56.82,112.31
4725.38,-56.33,-111.08
4737.38,-61.2,110.26
4749.39,-60.42,0.0
4761.4,-61.18,-110.94
4773.42,-66.92,117.47
4785.45,-67.17,110.79
4797.45,-68.42,112.73
4809.47,-70.8,115.25
4821.5,-72.22,114.57
4833.54,-71.88,112.1
4845.56,-74.48,117.11
4857.56,-78.65,121.0
4869.58,-77.6,113.58
4881.62,-76.88,113.72
4893.64,-79.0,118.39
4905.64,-81.75,120.43
4917.66,-84.94,122.37
4929.67,-85.83,119.68
4941.7,-86.44,119.56
4953.71,-85.55,117.19
4965.74,-82.33,112.72
4977.78,-80.13,113.13
4989.81,-78.61,113.4
5001.84,-77.58,113.59
5013.87,-77.08,114.1
5025.9,-77.83,116.07
5037.91,-78.34,115.98
5049.92,-80.0,118.21
5061.93,-81.13,118.0
5073.94,-83.43,120.54
5085.97,-85.01,120.24
5098.0,-87.18,121.96
5110.02,-88.67,121.69
5122.04,-89.91,121.88
5134.05,-86.63,114.46
5146.08,-83.07,112.59
5158.1,-80.63,113.03
5170.12,-80.48,116.01
5182.13,-82.77,120.24
5194.14,-83.25,118.04
5206.18,-80.76,113.01
5218.18,-77.74,111.02
5230.2,-76.98,113.7
5242.22,-77.76,116.09
5254.25,-77.21,114.08
5266.26,-74.0,0.0
5278.28,-72.02,0.0
5290.3,-74.36,116.71
5302.34,-74.66,121.88
5314.34,-71.17,110.28
5326.34,-68.77,110.19
5338.35,-68.44,112.73
5350.39,-67.99,112.39
5362.4,-65.07,0.0
5374.44,-63.07,0.0
5386.46,-65.61,123.11
5398.47,-64.74,113.14
5410.51,-61.76,0.0
5422.54,-59.71,0.0
5434.54,-58.09,0.0
5446.58,-53.5,110.55
5458.59,-55.35,114.85
5470.6,-51.19,0.0
5482.61,-50.94,0.0
5494.62,-49.46,0.0
5506.64,-44.76,0.0
5518.66,-43.92,0.0
5530.69,-39.65,-112.62
5542.7,-37.81,-110.24
5554.72,-33.94,-114.59
5566.74,-32.81,-111.44
5578.74,-30.51,-113.97
5590.74,-25.23,-112.42
5602.74,-25.31,111.65
5614.78,-20.15,0.0
5626.8,-17.91,0.0
5638.81,-16.38,0.0
5650.83,-12.72,-114.89
5662.83,-7.6,-119.09
5674.85,-6.7,0.0
5686.88,-6.08,110.91
5698.89,7.39,-131.76
5710.92,4.67,112.34
5722.95,4.33,111.96
5734.98,9.31,-117.05
5746.98,15.33,-121.61
5759.01,15.34,-113.64
5771.04,16.86,0.0
5783.06,21.6,-112.18
5795.08,24.85,0.0
5807.13,26.21,0.0
5819.15,32.14,-111.89
5831.19,37.52,-111.33
5843.2,38.38,110.62
5855.22,39.18,120.21
5867.24,43.65,-111.5
5879.27,49.32,0.0
5891.3,49.3,115.48
5903.33,51.67,0.0
5915.36,58.74,-110.6
5927.37,58.15,116.67
5939.38,65.79,-117.36
5951.4,64.51,116.45
5963.44,70.15,-114.5
5975.48,71.41,0.0
5987.51,73.58,110.02
5999.51,77.46,-113.19
6011.52,77.73,0.0
6023.56,85.74,-115.03
6035.57,84.71,0.0
6047.57,93.13,-116.6
6059.6,89.78,117.35
6071.62,95.09,-116.25
6083.63,93.74,114.6
6095.66,100.63,-118.66
6107.66,101.23,110.89
6119.67,107.07,-117.93
6131.68,105.86,0.0
6143.7,110.25,-117.93
6155.7,110.65,-112.8
6167.74,112.23,114.67
6179.78,119.62,-120.53
6191.79,118.38,112.38
6203.82,118.62,112.89
6215.86,128.13,-123.3
6227.86,128.13,-111.25
6239.88,128.14,-111.31
6251.9,135.96,-117.31
6263.93,137.2,-114.13
6275.96,134.14,122.08
6287.98,133.34,116.99
6299.98,133.01,110.38
6312.0,140.39,-117.89
6324.03,143.06,-120.58
6336.03,144.68,-114.81
6348.03,144.7,0.0
6360.03,143.41,114.86
6372.07,142.31,117.23
6384.08,141.77,111.07
6396.11,141.4,-111.55
6408.11,138.54,0.0
6420.11,138.97,0.0
6432.12,142.09,-113.08
6444.13,144.23,0.0
6456.14,141.56,111.81
6468.15,138.43,113.24
6480.18,139.11,0.0
6492.21,138.27,110.2
6504.22,140.31,-116.46
6516.24,136.27,112.62
6528.26,132.41,114.55
6540.27,137.59,-121.62
6552.3,133.32,112.08
6564.32,128.87,114.76
6576.32,130.38,0.0
6588.34,124.24,111.27
6600.36,123.94,0.0
6612.38,122.44,111.47
6624.42,117.71,117.83
6636.43,116.85,113.05
6648.46,109.97,124.02
6660.46,110.46,113.99
6672.5,105.36,123.59
6684.54,105.99,0.0
6696.58,101.21,122.26
6708.6,100.32,110.22
6720.63,98.41,117.53
6732.67,90.58,121.52
6744.69,89.12,111.03
6756.7,88.33,0.0
6768.72,81.27,117.56
6780.74,76.43,114.57
6792.76,78.33,-119.27
6804.79,73.11,0.0
6816.83,68.22,117.41
6828.83,71.18,-115.61
6840.86,65.59,117.49
6852.87,60.68,111.47
6864.89,63.39,-116.68
6876.9,56.34,119.14
6888.93,50.2,113.36
6900.95,51.21,0.0
6912.98,46.68,110.62
6925.0,42.27,117.47
6937.02,40.55,0.0
6949.02,39.37,0.0
6961.05,34.43,117.25
6973.06,32.35,0.0
6985.09,29.83,113.95
6997.12,25.28,111.37
7009.16,19.77,120.12
7021.16,22.51,-113.47
7033.17,16.35,112.59
7045.19,9.73,121.63
7057.22,5.19,113.62
7069.24,3.38,0.0
7081.24,-1.77,112.62
7093.26,-2.92,0.0
7105.28,-3.7,111.17
7117.31,-9.24,112.69
7129.34,-12.82,116.74
7141.36,-12.89,0.0
7153.38,-18.15,111.39
7165.41,-17.84,-112.51
7177.45,-20.46,0.0
7189.47,-25.95,116.41
7201.5,-25.8,-112.52
7213.54,-31.14,116.37
7225.55,-33.06,113.19
7237.57,-38.5,120.26
7249.61,-40.93,117.29
7261.64,-45.21,121.57
7273.68,-47.06,119.12
7285.72,-48.11,118.51
7297.74,-51.43,122.97
7309.76,-52.41,120.26
7321.78,-55.91,125.11
7333.78,-59.61,126.97
7345.8,-58.02,119.23
7357.82,-56.93,111.67
7369.84,-58.79,113.7
7381.86,-62.67,123.65
7393.86,-64.03,113.68
7405.88,-63.88,0.0
7417.92,-67.47,113.34
7429.94,-69.71,110.39
7441.94,-70.17,0.0
7453.94,-67.87,-122.64
7465.97,-70.21,0.0
7477.98,-74.42,114.9
7490.02,-77.31,114.48
7502.03,-76.68,0.0
7514.03,-75.16,-114.26
7526.04,-75.21,0.0
7538.04,-74.15,0.0
7550.04,-73.43,0.0
