time_in_ms,rotation,pwm_real
2002.37,0.0,0.0
2014.38,0.0,0.0
2026.4,0.0,0.0
2038.43,0.0,0.0
2050.46,0.0,0.0
2062.48,0.0,0.0
2074.51,0.0,0.0
2086.54,0.0,0.0
2098.54,0.0,0.0
2110.56,0.0,0.0
2122.58,0.0,0.0
2134.6,0.0,0.0
2146.62,0.0,0.0
2158.66,0.0,0.0
2170.68,0.0,0.0
2182.71,0.0,0.0
2194.73,0.0,0.0
2206.76,0.0,0.0
2218.78,0.0,0.0
2230.81,0.0,0.0
2242.83,0.0,0.0
2254.86,0.0,0.0
2266.88,0.0,0.0
2278.9,0.0,0.0
2290.93,0.0,0.0
2302.94,0.0,0.0
2314.97,0.0,0.0
2327.0,0.0,0.0
2339.02,0.0,0.0
2351.04,0.0,0.0
2363.08,0.0,0.0
2375.09,0.0,0.0
2387.12,0.0,0.0
2399.15,0.0,0.0
2411.18,0.0,0.0
2423.21,0.0,0.0
2435.24,0.0,0.0
2447.24,0.0,0.0
2459.25,0.0,0.0
2471.3,0.0,0.0
2483.32,0.0,0.0
2495.32,0.0,0.0
2507.37,0.0,0.0
2519.41,0.0,0.0
2531.45,0.0,0.0
2543.48,0.0,0.0
2555.52,0.0,0.0
2567.55,0.0,0.0
2579.56,0.0,0.0
2591.59,0.0,0.0
2603.62,0.0,0.0
2615.64,0.0,0.0
2627.65,0.0,0.0
2639.68,0.0,0.0
2651.72,0.0,0.0
2663.75,0.0,0.0
2675.79,0.0,0.0
2687.82,0.0,0.0
2699.84,0.0,0.0
2711.87,0.0,0.0
2723.91,0.0,0.0
2735.95,0.0,0.0
2747.99,0.0,0.0
2760.02,0.0,0.0
2772.06,0.0,0.0
2784.09,0.0,0.0
2796.12,0.0,0.0
2808.17,0.0,0.0
2820.21,0.0,0.0
2832.21,0.0,0.0
2844.21,0.0,0.0
2856.24,0.0,0.0
2868.25,0.0,0.0
2880.28,-17.66,0.0
2892.3,-19.5,0.0
2904.31,-37.35,101.76
2916.34,-56.87,104.3
2928.37,-58.9,104.57
2940.4,-76.77,106.9
2952.41,-96.29,109.44
2964.42,-115.98,112.0
2976.42,-135.69,114.57
2988.44,-155.4,117.13
3000.48,-157.46,117.4
3012.49,-175.33,119.73
3024.52,-177.19,119.97
3036.53,-195.04,122.29
3048.54,-196.9,122.54
3060.58,-197.1,122.56
3072.61,-197.12,122.56
3084.65,-197.12,122.56
3096.69,-197.12,122.56
3108.73,-197.12,122.56
3120.74,-197.12,122.56
3132.74,-197.12,122.56
3144.76,-197.12,122.56
3156.76,-197.12,122.56
3168.77,-197.12,122.56
3180.78,-197.12,122.56
3192.82,-197.12,122.56
3204.82,-179.46,120.27
3216.86,-177.62,120.03
3228.88,-159.77,117.7
3240.9,-122.59,112.86
3252.92,-65.74,105.46
3264.94,10.81,0.0
3276.95,89.42,-108.54
3288.97,185.9,-121.1
3301.0,284.25,-133.91
3313.03,382.78,-146.74
3325.05,463.68,-157.27
3337.07,525.08,-165.27
3349.08,584.46,-173.0
3361.1,625.96,-178.4
3373.11,647.94,-181.26
3385.14,650.23,-181.56
3397.15,632.81,-179.29
3409.19,595.67,-174.46
3421.22,538.83,-167.06
3433.24,462.27,-157.09
3445.24,383.67,-146.85
3457.25,304.84,-136.59
3469.27,208.34,-124.03
3481.27,92.33,-108.92
3493.29,-8.04,0.0
3505.31,-124.45,113.1
3517.33,-224.87,126.18
3529.38,-323.62,139.04
3541.39,-404.54,149.57
3553.42,-465.95,157.57
3565.44,-507.66,163.0
3577.46,-529.66,165.86
3589.48,-549.61,168.46
3601.5,-551.69,168.73
3613.54,-534.25,166.46
3625.56,-497.12,161.62
3637.59,-440.27,154.22
3649.62,-381.37,146.55
3661.66,-304.6,136.56
3673.67,-225.97,126.32
3685.67,-147.15,116.06
3697.68,-50.64,103.49
3709.72,47.7,-103.11
3721.74,146.24,-115.94
3733.76,227.14,-126.47
3745.8,306.2,-136.77
3757.82,367.41,-144.74
3769.83,409.1,-150.17
3781.85,431.1,-153.03
3793.88,433.4,-153.33
3805.88,433.63,-153.36
3817.91,398.34,-148.76
3829.94,359.35,-143.69
3841.98,319.97,-138.56
3853.98,262.89,-131.13
3865.99,203.97,-123.46
3878.01,127.2,-113.46
3890.02,48.57,-103.22
3902.02,-30.26,100.84
3914.02,-126.76,113.4
3926.03,-189.79,121.61
3938.03,-249.33,129.36
3950.03,-308.51,137.07
3962.05,-332.33,140.17
3974.06,-352.47,142.79
3986.1,-354.57,143.07
3998.12,-337.13,140.79
4010.16,-300.0,135.96
4022.18,-278.47,133.16
4034.2,-223.25,125.97
4046.21,-164.52,118.32
4058.22,-105.43,110.63
4070.22,-46.3,102.93
4082.24,30.5,-100.87
4094.24,109.13,-111.11
4106.25,170.3,-119.07
4118.28,211.98,-124.5
4130.31,251.64,-129.66
4142.33,273.43,-132.5
4154.34,293.36,-135.1
4166.36,295.44,-135.37
4178.38,277.99,-133.09
4190.4,240.86,-128.26
4202.43,201.67,-123.16
4214.46,162.28,-118.03
4226.47,105.2,-110.6
4238.48,46.27,-102.92
4250.51,-12.84,0.0
4262.52,-89.63,108.57
4274.55,-150.61,116.51
4286.58,-209.93,124.23
4298.6,-251.43,129.64
4310.6,-273.41,132.5
4322.62,-293.36,135.1
4334.65,-295.44,135.37
4346.69,-295.65,135.39
4358.71,-278.02,133.1
4370.74,-258.52,130.56
4382.75,-221.17,125.7
4394.77,-181.97,120.59
4406.79,-124.91,113.16
4418.8,-65.99,105.49
4430.82,10.79,0.0
4442.82,71.76,-106.24
4454.85,131.09,-113.97
4466.89,190.24,-121.67
4478.91,231.72,-127.07
4490.94,253.7,-129.93
4502.94,255.99,-130.23
4514.97,256.23,-130.26
4527.0,238.59,-127.96
4539.0,219.1,-125.43
4551.02,181.75,-120.56
4563.02,142.54,-115.46
4575.03,103.14,-110.33
4587.04,46.06,-102.9
4599.05,-12.86,0.0
4611.08,-71.98,106.27
4623.09,-131.11,113.97
4635.1,-190.24,121.67
4647.13,-231.72,127.07
4659.14,-253.7,129.93
4671.15,-255.99,130.23
4683.18,-238.57,127.96
4695.23,-219.1,125.43
4707.24,-199.41,122.86
4719.27,-162.04,118.0
4731.29,-122.83,112.89
4743.29,-83.43,107.76
4755.32,-26.35,100.33
4767.35,32.57,-101.14
4779.39,91.69,-108.84
4791.42,150.82,-116.54
4803.43,192.3,-121.94
4815.44,214.28,-124.8
4827.48,234.22,-127.4
4839.51,236.3,-127.67
4851.54,236.52,-127.69
4863.56,218.88,-125.4
4875.58,199.39,-122.86
4887.58,162.04,-118.0
4899.6,122.83,-112.89
4911.64,83.43,-107.76
4923.67,26.35,-100.33
4935.7,-32.57,101.14
4947.72,-91.69,108.84
4959.75,-133.16,114.24
4971.78,-172.8,119.4
4983.78,-212.25,124.53
4995.8,-216.35,125.07
5007.81,-216.78,125.12
5019.82,-199.17,122.83
5031.85,-179.67,120.29
5043.86,-159.98,117.73
5055.87,-122.62,112.86
5067.9,-83.41,107.76
5079.9,-26.35,100.33
5091.92,32.57,-101.14
5103.96,74.03,-106.54
5115.96,131.32,-114.0
5127.96,154.95,-117.07
5139.98,175.07,-119.69
5152.01,194.82,-122.27
5164.04,179.22,-120.23
5176.07,177.6,-120.02
5188.09,159.77,-117.7
5200.1,122.59,-112.86
5212.1,83.4,-107.76
5224.11,44.0,-102.63
5236.11,-13.08,0.0
5248.13,-54.34,103.97
5260.15,-111.61,111.43
5272.16,-152.9,116.81
5284.16,-174.85,119.67
5296.17,-194.8,122.26
5308.19,-196.88,122.53
5320.21,-197.09,122.56
5332.21,-179.46,120.27
5344.22,-142.3,115.43
5356.25,-103.12,110.33
5368.27,-63.72,105.2
5380.29,-6.64,0.0
5392.32,52.29,-103.71
5404.34,93.74,-109.1
5416.34,133.38,-114.27
5428.38,155.16,-117.1
5440.41,175.09,-119.7
5452.42,177.17,-119.97
5464.46,159.72,-117.7
5476.46,140.25,-115.16
5488.49,120.56,-112.6
5500.5,83.19,-107.73
5512.51,43.98,-102.63
5524.52,4.58,0.0
5536.52,-52.5,103.74
5548.53,-93.76,109.11
5560.57,-133.38,114.27
5572.6,-155.16,117.1
5584.63,-157.43,117.4
5596.66,-175.33,119.73
5608.7,-177.19,119.97
5620.73,-159.73,117.7
5632.75,-122.59,112.86
5644.79,-101.06,110.06
5656.79,-63.5,105.17
5668.8,-24.27,100.06
5680.82,32.79,-101.17
5692.85,74.05,-106.54
5704.88,113.67,-111.7
5716.89,153.11,-116.83
5728.89,174.88,-119.67
5740.9,177.14,-119.96
5752.92,177.38,-119.99
5764.94,177.4,-120.0
5776.98,159.75,-117.7
5789.02,140.25,-115.16
5801.02,102.9,-110.3
5813.02,63.69,-105.19
5825.06,24.29,-100.06
5837.06,-32.79,101.17
5849.07,-74.05,106.54
5861.09,-131.33,114.0
5873.1,-154.95,117.07
5885.14,-175.07,119.69
5897.16,-177.16,119.97
5909.16,-159.72,117.7
5921.19,-157.91,117.46
5933.19,-122.4,112.84
5945.22,-101.04,110.06
5957.25,-63.5,105.17
5969.26,-6.61,0.0
5981.28,34.63,-101.41
5993.28,91.9,-108.87
6005.28,115.53,-111.94
6017.32,135.64,-114.56
6029.36,155.4,-117.13
6041.38,157.46,-117.4
6053.4,157.67,-117.43
6065.43,157.69,-117.43
6077.46,122.38,-112.83
6089.49,101.04,-110.06
6101.52,63.5,-105.17
6113.55,24.27,-100.06
6125.56,-32.79,101.17
6137.57,-74.05,106.54
6149.61,-113.67,111.7
6161.62,-153.11,116.83
6173.66,-157.22,117.37
6185.67,-175.3,119.72
6197.68,-177.19,119.97
6209.72,-177.38,120.0
6221.74,-177.41,120.0
6233.74,-142.09,115.4
6245.78,-120.75,112.62
6257.81,-83.21,107.73
6269.82,-43.98,102.63
6281.86,-4.58,0.0
6293.87,52.5,-103.74
6305.87,93.76,-109.11
6317.9,133.38,-114.27
6329.94,155.16,-117.1
6341.94,175.09,-119.7
6353.96,177.17,-119.97
