time_in_ms,raw_rotation_vel,pwm_model,pwm_real
2799.16,0.0,33.93,-33.93
2831.09,0.0,34.4,-34.4
2843.1,0.0,34.58,-34.58
2855.12,0.0,34.76,-34.76
2867.14,0.0,34.93,-34.93
2879.16,0.0,35.11,-35.11
2891.2,0.0,35.29,-35.29
2903.22,0.0,35.47,-35.47
2915.25,0.0,35.64,-35.64
2927.27,0.0,35.82,-35.82
2939.29,0.0,36.0,-36.0
2951.31,0.0,36.18,-36.18
2963.34,0.0,36.35,-36.35
2975.36,0.0,36.53,-36.53
2987.38,0.0,36.71,-36.71
2999.41,0.0,36.89,-36.89
3011.43,0.0,37.06,-37.06
3023.44,0.0,37.24,-37.24
3035.46,0.0,37.42,-37.42
3047.48,0.0,37.6,-37.6
3059.5,0.0,37.77,-37.77
3071.53,0.0,37.95,-37.95
3083.55,0.0,38.13,-38.13
3095.59,0.0,38.31,-38.31
3107.62,0.0,38.48,-38.48
3119.64,0.0,38.66,-38.66
3131.65,0.0,38.84,-38.84
3143.66,0.0,39.02,-39.02
3155.68,0.0,39.19,-39.19
3167.69,0.0,39.37,-39.37
3179.72,0.0,39.55,-39.55
3191.75,0.0,39.72,-39.72
3203.77,0.0,39.9,-39.9
3215.79,0.0,40.08,-40.08
3227.8,0.0,40.26,-40.26
3239.82,0.0,40.43,-40.43
3251.83,0.0,40.61,-40.61
3263.85,0.0,40.79,-40.79
3275.88,0.0,40.97,-40.97
3287.9,0.0,41.14,-41.14
3299.92,0.0,41.32,-41.32
3311.95,0.0,41.5,-41.5
3323.95,0.0,41.68,-41.68
3335.96,0.0,41.85,-41.85
3347.98,0.0,42.03,-42.03
3359.99,0.0,42.21,-42.21
3372.02,0.0,42.39,-42.39
3384.04,0.0,42.56,-42.56
3396.05,0.0,42.74,-42.74
3408.07,0.0,42.92,-42.92
3420.09,0.0,43.09,-43.09
3432.1,0.0,43.27,-43.27
3444.12,0.0,43.45,-43.45
3456.16,0.0,43.63,-43.63
3468.18,0.0,43.8,-43.8
3480.2,0.0,43.98,-43.98
3492.24,0.0,44.16,-44.16
3504.27,0.0,44.34,-44.34
3516.29,0.0,44.51,-44.51
3528.32,0.0,44.69,-44.69
3540.35,0.0,44.87,-44.87
3552.38,0.0,45.05,-45.05
3564.4,0.0,45.22,-45.22
3576.42,0.0,45.4,-45.4
3588.46,0.0,45.58,-45.58
3600.48,0.0,45.76,-45.76
3612.51,0.0,45.93,-45.93
3624.54,0.0,46.11,-46.11
3636.56,0.0,46.29,-46.29
3648.6,0.0,46.47,-46.47
3660.62,0.0,46.64,-46.64
3672.64,0.0,46.82,-46.82
3684.67,0.0,47.0,-47.0
3696.7,0.0,47.18,-47.18
3708.73,0.0,47.35,-47.35
3720.76,0.0,47.53,-47.53
3732.79,0.0,47.71,-47.71
3744.83,0.0,47.89,-47.89
3756.84,0.0,48.06,-48.06
3768.85,0.0,48.24,-48.24
3780.87,0.0,48.42,-48.42
3792.89,0.0,48.6,-48.6
