time_in_ms,raw_rot_vel,pwm_model,pwm_real
1000.04,0.0,255.0,255.0
1005.07,0.0,255.0,255.0
1010.1,530.0,255.0,255.0
1015.12,990.0,255.0,255.0
1020.14,1910.0,255.0,255.0
1025.16,2710.0,255.0,255.0
1030.17,3410.0,255.0,255.0
1035.18,4540.0,255.0,255.0
1040.2,5520.0,255.0,255.0
1045.22,6360.0,255.0,255.0
1050.26,7610.0,255.0,255.0
1055.28,8700.0,255.0,255.0
1060.3,10180.0,255.0,255.0
1065.31,10920.0,255.0,255.0
1070.34,12090.0,255.0,255.0
1075.37,13110.0,255.0,255.0
1080.39,13990.0,255.0,255.0
1085.41,15280.0,255.0,255.0
1090.44,15860.0,255.0,255.0
1095.47,16890.0,255.0,255.0
1100.5,17780.0,255.0,255.0
1105.54,18550.0,255.0,255.0
1110.57,19750.0,255.0,255.0
1115.61,20250.0,255.0,255.0
1120.62,20700.0,255.0,255.0
1125.66,21600.0,255.0,255.0
1130.7,22380.0,255.0,255.0
1135.74,23050.0,255.0,255.0
1140.78,23640.0,255.0,255.0
1146.32,23810.0,255.0,255.0
1152.04,24310.0,255.0,255.0
1157.76,25220.0,255.0,255.0
1163.48,25530.0,255.0,255.0
1169.2,25810.0,255.0,255.0
1174.92,26510.0,255.0,255.0
1180.64,27120.0,255.0,255.0
1186.36,27180.0,255.0,255.0
1192.08,27700.0,255.0,255.0
1197.8,28140.0,255.0,255.0
1203.52,28530.0,255.0,255.0
1209.25,28860.0,255.0,255.0
1214.97,29150.0,255.0,255.0
1220.68,29410.0,255.0,255.0
1226.4,29620.0,255.0,255.0
1232.12,29810.0,255.0,255.0
1237.84,29970.0,255.0,255.0
1243.56,30110.0,255.0,255.0
1249.28,30700.0,255.0,255.0
1255,30740.0,255.0,255.0
1260.72,30780.0,255.0,255.0
1266.44,31280.0,255.0,255.0
1272.16,31240.0,255.0,255.0
1277.88,31670.0,255.0,255.0
1283.6,31590.0,255.0,255.0
1289.32,31970.0,255.0,255.0
1295.04,31840.0,255.0,255.0
1300.76,32200.0,255.0,255.0
1306.48,32500.0,255.0,255.0
1312.2,32300.0,255.0,255.0
1317.92,32590.0,255.0,255.0
1323.64,32840.0,255.0,255.0
1329.36,32600.0,255.0,255.0
1335.08,32850.0,255.0,255.0
1340.8,33070.0,255.0,255.0
1346.52,33250.0,255.0,255.0
1352.24,33420.0,255.0,255.0
1357.96,33090.0,255.0,255.0
1363.68,33280.0,255.0,255.0
1369.4,33440.0,255.0,255.0
1375.12,33580.0,255.0,255.0
1380.84,33690.0,255.0,255.0
1386.56,33800.0,255.0,255.0
1392.28,33890.0,255.0,255.0
1398,33960.0,255.0,255.0
1403.73,34030.0,255.0,255.0
1409.44,34090.0,255.0,255.0
1415.16,34140.0,255.0,255.0
1420.88,33720.0,255.0,255.0
1426.6,33820.0,255.0,255.0
1432.32,33910.0,255.0,255.0
1438.04,33980.0,255.0,255.0
1443.76,34510.0,255.0,255.0
1449.48,34500.0,255.0,255.0
1455.2,34500.0,255.0,255.0
1460.92,34490.0,255.0,255.0
1466.64,34490.0,255.0,255.0
1472.37,34480.0,255.0,255.0
1478.09,34480.0,255.0,255.0
1483.8,34480.0,255.0,255.0
1489.52,34480.0,255.0,255.0
1495.24,34480.0,255.0,255.0
1500.96,34470.0,255.0,255.0
1506.68,34470.0,255.0,255.0
1512.4,34470.0,255.0,255.0
1518.12,34470.0,255.0,255.0
1523.84,34470.0,255.0,255.0
1529.56,34470.0,255.0,255.0
1535.28,34470.0,255.0,255.0
1541,34470.0,255.0,255.0
1546.72,34470.0,255.0,255.0
1552.44,34460.0,255.0,255.0
1558.16,34460.0,255.0,255.0
1563.88,34460.0,255.0,255.0
1569.6,34460.0,255.0,255.0
1575.32,34460.0,255.0,255.0
1581.04,34460.0,255.0,255.0
1586.76,34460.0,255.0,255.0
1592.48,34460.0,255.0,255.0
1598.2,34930.0,255.0,255.0
1603.93,34860.0,255.0,255.0
1609.64,34810.0,255.0,255.0
1615.36,34760.0,255.0,255.0
1621.08,34720.0,255.0,255.0
1626.8,34690.0,255.0,255.0
1632.52,34660.0,255.0,255.0
1638.24,34630.0,255.0,255.0
1643.96,34610.0,255.0,255.0
1649.68,34580.0,255.0,255.0
1655.4,34570.0,255.0,255.0
1661.12,34560.0,255.0,255.0
1666.84,34540.0,255.0,255.0
1672.56,34530.0,255.0,255.0
1678.28,34520.0,255.0,255.0
1684,34980.0,255.0,255.0
1689.73,34900.0,255.0,255.0
1695.44,34850.0,255.0,255.0
1701.16,34800.0,255.0,255.0
1706.88,34750.0,255.0,255.0
1712.6,34710.0,255.0,255.0
1718.32,34680.0,255.0,255.0
1724.04,34650.0,255.0,255.0
1729.76,34620.0,255.0,255.0
1735.48,34600.0,255.0,255.0
1741.2,34580.0,255.0,255.0
1746.92,34570.0,255.0,255.0
1752.64,34550.0,255.0,255.0
1758.37,35000.0,255.0,255.0
1764.08,34930.0,255.0,255.0
1769.8,34870.0,255.0,255.0
1775.52,34810.0,255.0,255.0
1781.24,34770.0,255.0,255.0
1786.96,34730.0,255.0,255.0
1792.68,34690.0,255.0,255.0
1798.4,34660.0,255.0,255.0
1804.12,34630.0,255.0,255.0
1809.84,34610.0,255.0,255.0
1815.56,35050.0,255.0,255.0
1821.28,34970.0,255.0,255.0
1827,34900.0,255.0,255.0
1832.72,34850.0,255.0,255.0
1838.44,34790.0,255.0,255.0
1844.16,34750.0,255.0,255.0
1849.88,34710.0,255.0,255.0
1855.6,34680.0,255.0,255.0
1861.32,34650.0,255.0,255.0
1867.04,35090.0,255.0,255.0
1872.76,35000.0,255.0,255.0
1878.48,34930.0,255.0,255.0
1884.2,34870.0,255.0,255.0
1889.92,34810.0,255.0,255.0
1895.64,34760.0,255.0,255.0
1901.36,34720.0,255.0,255.0
1907.08,34690.0,255.0,255.0
1912.8,34660.0,255.0,255.0
1918.52,35100.0,255.0,255.0
1924.24,35010.0,255.0,255.0
1929.96,34940.0,255.0,255.0
1935.68,34870.0,255.0,255.0
1941.4,34820.0,255.0,255.0
1947.12,34770.0,255.0,255.0
1952.84,34730.0,255.0,255.0
1958.56,34690.0,255.0,255.0
1964.28,34660.0,255.0,255.0
1970,35100.0,255.0,255.0
1975.72,35010.0,255.0,255.0
1981.44,34930.0,255.0,255.0
1987.16,34870.0,255.0,255.0
1992.88,34820.0,255.0,255.0
1998.6,34770.0,255.0,255.0
2004.32,34730.0,255.0,255.0
2010.04,34690.0,255.0,255.0
2015.76,35130.0,255.0,255.0
2021.48,35040.0,255.0,255.0
2027.2,34960.0,255.0,255.0
2032.92,34890.0,255.0,255.0
2038.64,34830.0,255.0,255.0
2044.36,34780.0,255.0,255.0
2050.08,34740.0,255.0,255.0
2055.8,34700.0,255.0,255.0
2061.52,35130.0,255.0,255.0
2067.24,35040.0,255.0,255.0
2072.96,34970.0,255.0,255.0
2078.68,34900.0,255.0,255.0
2084.4,34840.0,255.0,255.0
2090.12,34790.0,255.0,255.0
2095.84,34740.0,255.0,255.0
2101.56,34710.0,255.0,255.0
2107.29,35130.0,255.0,255.0
2113,35050.0,255.0,255.0
2118.72,34970.0,255.0,255.0
2124.44,34900.0,255.0,255.0
2130.16,34840.0,255.0,255.0
2135.88,34790.0,255.0,255.0
2141.6,34750.0,255.0,255.0
2147.32,34710.0,255.0,255.0
2153.05,35130.0,255.0,255.0
2158.76,35050.0,255.0,255.0
2164.48,34970.0,255.0,255.0
2170.2,34900.0,255.0,255.0
2175.92,34840.0,255.0,255.0
2181.64,34790.0,255.0,255.0
2187.36,34750.0,255.0,255.0
2193.08,35170.0,255.0,255.0
2198.8,35080.0,255.0,255.0
2204.52,34990.0,255.0,255.0
2210.24,34920.0,255.0,255.0
2215.96,34860.0,255.0,255.0
2221.68,34810.0,255.0,255.0
2227.4,34760.0,255.0,255.0
2233.12,34720.0,255.0,255.0
2238.85,35140.0,255.0,255.0
2244.56,35060.0,255.0,255.0
2250.28,34980.0,255.0,255.0
2256,34910.0,255.0,255.0
2261.72,34850.0,255.0,255.0
2267.44,34790.0,255.0,255.0
2273.16,34750.0,255.0,255.0
2278.88,35180.0,255.0,255.0
2284.6,35080.0,255.0,255.0
2290.32,35000.0,255.0,255.0
2296.04,34920.0,255.0,255.0
2301.76,34860.0,255.0,255.0
2307.48,34810.0,255.0,255.0
2313.2,34760.0,255.0,255.0
2318.92,34720.0,255.0,255.0
2324.65,35140.0,255.0,255.0
2330.36,35060.0,255.0,255.0
2336.08,34980.0,255.0,255.0
2341.8,34910.0,255.0,255.0
2347.52,34850.0,255.0,255.0
2353.24,34800.0,255.0,255.0
2358.96,34750.0,255.0,255.0
2364.68,35180.0,255.0,255.0
2370.4,35080.0,255.0,255.0
2376.12,35000.0,255.0,255.0
2381.84,34920.0,255.0,255.0
2387.56,34860.0,255.0,255.0
2393.28,34810.0,255.0,255.0
2399,34760.0,255.0,255.0
2404.72,35190.0,255.0,255.0
2410.44,35090.0,255.0,255.0
2416.16,35000.0,255.0,255.0
2421.88,34930.0,255.0,255.0
2427.6,34870.0,255.0,255.0
2433.32,34810.0,255.0,255.0
2439.04,34770.0,255.0,255.0
2444.76,35190.0,255.0,255.0
2450.48,35090.0,255.0,255.0
2456.2,35010.0,255.0,255.0
2461.92,34930.0,255.0,255.0
2467.64,34870.0,255.0,255.0
2473.36,34810.0,255.0,255.0
2479.08,34770.0,255.0,255.0
2484.8,34730.0,255.0,255.0
2490.52,35150.0,255.0,255.0
2496.24,35060.0,255.0,255.0
2501.96,34980.0,255.0,255.0
2507.68,34910.0,255.0,255.0
2513.4,34850.0,255.0,255.0
2519.12,34800.0,255.0,255.0
2524.84,35220.0,255.0,255.0
2530.56,35110.0,255.0,255.0
2536.28,35030.0,255.0,255.0
2542,34950.0,255.0,255.0
2547.72,34880.0,255.0,255.0
2553.44,34830.0,255.0,255.0
2559.16,34780.0,255.0,255.0
2564.88,35200.0,255.0,255.0
2570.6,35100.0,255.0,255.0
2576.32,35010.0,255.0,255.0
2582.04,34940.0,255.0,255.0
2587.76,34880.0,255.0,255.0
2593.48,34820.0,255.0,255.0
2599.2,34770.0,255.0,255.0
2604.92,34730.0,255.0,255.0
2610.64,35160.0,255.0,255.0
2616.36,35060.0,255.0,255.0
2622.08,34980.0,255.0,255.0
2627.8,34910.0,255.0,255.0
2633.52,34850.0,255.0,255.0
2639.24,34800.0,255.0,255.0
2644.96,35220.0,255.0,255.0
2650.68,35120.0,255.0,255.0
2656.4,35030.0,255.0,255.0
