time_in_ms,ref_offset,raw_offset,offset,offset_vel,raw_rotation,rotation,rotation_vel,pwm_model,pwm_real
2999.06,0.0,-208.0,-18.91,0.0,0.0,0.0,0.0,-13.24,124.45
3039.98,0.0,-208.0,-49.6,-38.01,0.0,0.0,-592.16,-41.05,139.47
3052.31,0.0,0.81,-39.16,-10.81,0.0,-4.22,-1037.3,-15.13,125.47
3064.73,0.0,-0.57,-29.56,25.41,0.0,-7.92,-939.92,5.55,-120.3
3077.04,0.0,-0.57,-21.28,64.26,-19.71,-19.62,-869.33,28.76,-132.83
3089.57,0.0,-0.57,-14.54,99.26,-19.71,-24.19,-281.39,39.79,-138.79
3102.13,0.0,-1.26,-9.53,124.85,0.0,-11.45,762.57,34.69,-136.03
3114.55,0.0,-1.26,-5.79,141.26,19.71,10.78,1624.22,25.39,-131.01
3127.1,0.0,-4.72,-4.26,139.35,39.42,36.03,2121.91,11.92,-123.74
3139.66,0.0,-4.03,-3.03,134.88,59.14,60.58,2221.74,3.36,0.0
3151.97,0.0,0.12,-0.85,139.48,98.56,94.2,2459.21,-5.24,120.13
3164.47,0.0,-0.57,0.38,134.76,137.98,132.63,2624.04,-18.35,127.21
3177.1,0.0,3.58,2.61,139.74,157.7,161.02,2223.94,-15.89,125.88
3189.78,0.0,16.04,8.56,179.25,157.7,170.62,1433.08,13.54,-124.61
3205.48,0.0,16.04,13.06,195.28,157.7,172.23,1023.69,28.84,-132.87
3218.27,0.0,24.34,18.74,225.84,177.41,180.66,1283.51,39.03,-138.38
3231.05,0.0,19.5,20.85,218.38,177.41,185.47,1472.81,33.49,-135.38
3246.86,0.0,19.5,22.56,201.44,216.83,213.52,2198.0,10.01,-122.71
3262.83,0.0,19.5,23.49,179.25,256.26,253.12,2511.3,-12.81,124.22
3278.84,0.0,19.5,23.85,154.93,295.68,294.71,2329.88,-29.95,133.48
3291.68,0.0,36.1,29.59,191.36,315.39,319.18,1742.03,-8.67,121.98
3304.4,0.0,19.5,27.45,146.83,335.1,337.67,1508.12,-29.09,133.01
3317.16,0.0,7.73,21.44,70.01,335.1,344.05,707.15,-53.61,146.25
3329.75,0.0,3.58,15.48,3.29,335.1,342.43,-354.04,-68.14,154.1
3342.29,0.0,9.12,13.18,-19.53,335.1,336.29,-1340.57,-62.55,151.07
3354.97,0.0,11.88,12.55,-23.28,335.1,328.62,-1920.93,-53.86,146.39
3370.91,0.0,11.88,12.07,-24.33,295.68,296.63,-2901.71,-31.91,134.53
3383.66,0.0,7.73,10.29,-38.69,275.97,269.27,-3050.61,-29.83,133.41
3396.34,0.0,2.89,7.27,-63.32,256.26,245.72,-2998.94,-36.68,137.11
3408.98,0.0,-0.57,3.9,-88.43,216.83,213.13,-3342.4,-35.79,136.63
3421.62,0.0,3.58,3.07,-85.59,177.41,174.73,-3718.8,-19.99,128.09
3437.56,0.0,3.58,2.39,-78.93,118.27,117.12,-4016.22,1.07,0.0
3449.92,0.0,-8.88,-2.34,-115.61,78.85,74.17,-3795.28,-9.5,122.43
3462.44,0.0,-5.42,-4.38,-121.41,39.42,34.2,-3694.33,-4.76,0.0
3474.83,0.0,11.88,0.6,-58.08,0.0,-4.75,-3549.0,31.61,-134.37
3487.23,0.0,-0.57,-0.28,-59.7,-39.42,-43.26,-2950.86,31.0,-134.04
3499.72,0.0,-6.8,-3.14,-80.27,-59.14,-67.74,-2147.95,14.85,-125.32
3512.26,0.0,-4.72,-4.36,-82.34,-78.85,-85.34,-1657.6,10.22,-122.82
3524.82,0.0,3.58,-2.12,-50.38,-78.85,-90.06,-1022.11,16.22,-126.06
3537.36,0.0,3.58,-0.44,-27.84,-78.85,-88.71,-364.53,16.2,-126.05
3549.84,0.0,-0.57,-0.71,-27.09,-59.14,-73.14,474.79,-0.17,0.0
3562.05,0.0,-3.34,-1.88,-35.29,-39.42,-50.88,978.39,-17.39,126.69
3574.5,0.0,-0.57,-1.68,-29.07,-39.42,-39.12,728.35,-13.95,124.83
3586.95,0.0,-8.88,-4.54,-53.43,-39.42,-35.58,368.78,-21.18,128.74
3599.42,0.0,-0.57,-3.51,-36.92,-39.42,-35.96,-73.05,-7.14,121.16
3611.79,0.0,-8.18,-5.51,-51.94,-39.42,-38.37,-216.0,-11.8,123.67
3624.27,0.0,-4.72,-5.63,-46.84,-59.14,-51.72,-704.35,0.82,0.0
3636.5,0.0,-5.42,-5.92,-44.02,-59.14,-59.63,-671.7,3.23,0.0
3648.72,0.0,-13.03,-8.86,-67.44,-78.85,-74.33,-827.98,-2.17,0.0
3660.98,0.0,-8.88,-9.39,-64.57,-78.85,-81.16,-755.09,-0.78,0.0
3673.2,0.0,-5.42,-8.44,-47.6,-78.85,-83.58,-556.45,4.29,0.0
3685.43,0.0,-4.72,-7.45,-32.29,-78.85,-83.58,-289.89,7.11,-121.14
3697.87,0.0,-1.26,-5.45,-8.81,-78.85,-82.27,-42.06,13.86,-124.78
3710.26,0.0,-0.57,-3.74,8.94,-78.85,-80.47,217.24,17.82,-126.92
3722.68,0.0,-4.72,-4.03,5.03,-59.14,-66.78,796.74,3.94,0.0
3734.82,0.0,-5.42,-4.5,-0.14,-59.14,-58.3,812.28,-0.81,0.0
3746.97,0.0,-4.72,-4.58,-0.95,-39.42,-43.12,964.73,-7.28,121.23
3759.34,0.0,-4.72,-4.64,-1.42,-39.42,-36.05,717.21,-5.56,120.31
3771.7,0.0,-4.72,-4.68,-1.66,-39.42,-34.4,420.05,-1.64,0.0
3783.88,0.0,-5.42,-4.96,-4.21,-59.14,-46.88,-142.76,8.71,-122.0
3796.26,0.0,-4.72,-4.91,-3.17,-39.42,-43.21,142.18,3.97,0.0
3808.45,0.0,0.81,-2.84,17.35,-39.42,-40.27,232.25,11.53,-123.53
3820.9,0.0,-13.72,-6.68,-22.17,-19.71,-26.96,709.22,-17.44,126.72
3833.4,0.0,-8.88,-7.66,-29.01,0.0,-7.43,798.83,-27.09,131.93
3845.68,0.0,-8.88,-8.33,-32.09,0.0,0.98,391.75,-24.79,130.68
3857.96,0.0,-8.88,-8.78,-32.63,-19.71,-9.25,-402.94,-10.84,123.16
3870.36,0.0,-3.34,-7.05,-11.81,-19.71,-17.47,-649.0,4.44,0.0
3882.56,0.0,-8.88,-7.81,-17.81,-39.42,-33.66,-844.03,8.49,-121.88
3894.96,0.0,-8.88,-8.34,-20.83,-39.42,-41.36,-643.7,5.83,-120.45
3907.36,0.0,-17.18,-11.73,-51.41,-39.42,-43.49,-385.17,-12.13,123.85
3919.9,0.0,-17.18,-14.13,-68.53,-39.42,-43.08,-390.28,-20.68,128.47
3932.46,0.0,-13.03,-14.28,-61.53,-39.42,-42.93,-519.21,-16.08,125.99
3945.04,0.0,-8.88,-12.8,-39.54,-59.14,-55.17,-915.65,2.75,0.0
3957.3,0.0,-15.8,-14.2,-48.51,-78.85,-73.74,-1104.4,5.66,-120.35
3969.84,0.0,-17.87,-15.93,-59.43,-78.85,-82.43,-868.62,-1.29,0.0
3982.16,0.0,-13.72,-15.59,-48.96,-59.14,-73.09,-269.83,-8.18,121.71
3994.68,0.0,-17.18,-16.56,-52.46,-39.42,-54.62,289.46,-23.26,129.86
4007.23,0.0,-17.18,-17.2,-52.34,-39.42,-44.17,179.85,-24.63,130.6
4019.8,0.0,-13.03,-16.1,-35.12,-59.14,-52.07,-470.72,-5.24,120.13
4032.3,0.0,-17.18,-16.77,-37.42,-78.85,-70.27,-920.92,4.67,0.0
4044.62,0.0,-17.18,-17.21,-37.24,-98.56,-91.61,-1164.83,13.43,-124.55
4057.24,0.0,-17.18,-17.5,-35.45,-98.56,-101.74,-839.27,11.59,-123.56
4069.86,0.0,-21.33,-19.18,-47.51,-78.85,-92.59,-72.53,-8.2,121.73
4082.35,0.0,-8.88,-15.8,-8.67,-59.14,-73.24,438.07,-2.79,0.0
4094.54,0.0,-9.57,-13.59,13.89,-59.14,-62.73,559.55,3.33,0.0
4106.8,0.0,-4.72,-10.24,44.87,-59.14,-57.8,545.05,17.05,-126.51
4119.25,0.0,-22.02,-14.19,0.9,-59.14,-55.8,629.84,-5.07,120.04
4131.65,0.0,-22.02,-17.05,-27.05,-39.42,-42.94,716.29,-22.76,129.59
4144.19,0.0,-5.42,-13.01,15.59,-39.42,-37.18,305.34,1.84,0.0
4156.44,0.0,-13.72,-13.15,12.39,-59.14,-48.59,-135.54,9.93,-122.66
4168.98,0.0,11.88,-3.91,101.04,-59.14,-55.51,-159.73,53.95,-146.43
4181.57,0.0,-1.26,-2.14,105.93,-39.42,-46.85,911.09,38.92,-138.32
4194.13,0.0,11.19,3.58,148.67,-19.71,-26.15,1729.9,42.56,-140.28
4206.8,0.0,11.88,7.81,171.56,19.71,9.88,2753.31,30.32,-133.67
4219.41,0.0,24.34,15.22,222.77,39.42,41.55,3077.47,43.21,-140.63
4232.13,0.0,32.64,23.38,274.76,78.85,79.61,3644.91,51.69,-145.21
4244.91,0.0,38.18,31.01,314.98,137.98,133.14,4580.85,45.7,-141.98
4257.82,0.0,56.86,43.04,392.59,197.12,195.13,5313.58,58.68,-148.98
4270.72,0.0,54.1,50.29,413.96,256.26,259.3,6006.64,45.86,-142.06
4283.63,0.0,54.1,55.07,408.47,315.39,324.2,6265.06,26.91,-131.83
4296.58,0.0,61.02,60.6,410.8,394.24,398.79,6445.29,10.37,-122.9
4309.58,0.0,82.47,71.98,469.69,473.09,476.98,6420.7,22.7,-129.56
4322.64,0.0,103.23,87.28,559.18,571.65,567.21,6940.76,38.86,-138.28
4335.78,0.0,107.38,99.29,604.6,650.49,653.75,7355.2,37.57,-137.59
4348.91,0.0,107.38,107.28,605.15,749.05,749.57,7871.7,11.69,-123.61
4362.15,0.0,125.37,118.97,641.06,847.61,850.14,7929.4,8.23,-121.74
4375.4,0.0,139.9,132.01,685.37,965.88,961.51,8241.96,2.55,0.0
4388.4,0.0,136.44,139.28,669.42,1064.44,1066.17,8201.95,-24.3,130.42
4401.83,0.0,160.66,152.8,713.57,1163.0,1168.46,7604.17,-13.79,124.75
4419.3,0.0,160.66,163.59,697.16,1281.28,1289.51,6976.88,-33.66,135.48
4436.74,0.0,160.66,170.24,643.43,1360.12,1381.07,5410.49,-49.89,144.24
4450.16,0.0,173.12,176.77,622.94,1399.55,1421.76,3697.76,-37.99,137.82
4466.62,0.0,173.12,181.95,573.39,1419.26,1445.27,1865.56,-32.58,134.89
4484.2,0.0,173.12,185.12,506.03,1438.97,1455.01,531.54,-39.73,138.75
4500.66,0.0,173.12,186.02,433.59,1438.97,1449.14,-632.68,-49.14,143.84
4514.1,0.0,208.41,197.9,492.6,1419.26,1428.03,-1741.97,4.69,0.0
4531.3,0.0,208.41,207.12,499.85,1379.84,1387.31,-1983.92,27.85,-132.34
4548.75,0.0,208.41,213.13,473.39,1360.12,1357.08,-1318.29,19.05,-127.59
4562.34,0.0,208.41,215.49,433.67,1360.12,1351.52,-655.62,-3.74,0.0
4575.59,0.0,208.41,216.55,387.97,1360.12,1353.03,-396.51,-25.53,131.09
4589.05,0.0,208.41,216.89,340.36,1360.12,1355.02,-547.01,-42.58,140.29
4602.52,0.0,208.41,216.71,293.79,1340.41,1343.38,-1305.39,-47.05,142.71
4616.1,0.0,208.41,216.21,250.03,1320.7,1322.74,-2093.55,-47.92,143.18
4633.53,0.0,208.41,216.13,206.72,1281.28,1283.31,-3096.9,-40.4,139.12
4650.97,0.0,208.41,215.6,166.38,1241.85,1236.7,-3639.84,-37.11,137.34
4668.32,0.0,208.41,214.81,130.48,1202.43,1190.58,-3820.49,-37.78,137.7
4681.82,0.0,198.72,210.05,66.91,1143.29,1141.54,-4300.41,-47.08,142.72
4695.3,0.0,219.48,214.07,97.3,1103.87,1095.52,-4626.24,-15.72,125.79
4711.7,0.0,219.48,217.06,110.91,1025.02,1022.82,-4810.86,12.76,-124.19
4728.3,0.0,219.48,219.11,112.99,946.17,944.87,-4521.73,30.18,-133.6
4741.66,0.0,177.96,205.04,-39.01,906.75,897.6,-3677.02,-41.32,139.61
4754.9,0.0,173.81,193.31,-148.45,887.04,871.38,-3584.29,-88.14,164.9
4768.22,0.0,165.51,181.9,-240.46,847.61,837.79,-4433.28,-111.8,177.67
4781.54,0.0,144.75,166.3,-361.43,788.48,784.47,-5885.27,-136.0,190.74
4794.86,0.0,140.6,153.85,-435.85,729.34,719.79,-7444.22,-134.93,190.16
4808.18,0.0,135.75,143.56,-479.69,670.21,649.89,-8510.92,-126.19,185.44
4821.51,0.0,141.29,138.67,-464.99,591.36,568.8,-9354.83,-90.81,166.34
4834.76,0.0,123.99,129.4,-495.35,512.51,484.75,-9444.47,-87.09,164.33
4848.0,0.0,111.53,118.71,-535.65,413.95,391.71,-9722.56,-83.25,162.26
4861.25,0.0,121.22,115.12,-501.41,315.39,293.82,-9976.67,-43.79,140.94
4874.46,0.0,99.77,105.31,-532.51,216.83,194.35,-9616.33,-43.63,140.86
4887.62,0.0,103.23,100.1,-514.96,98.56,85.94,-9686.79,-12.1,123.83
4900.68,0.0,81.78,89.14,-556.29,0.0,-16.65,-9124.39,-19.09,127.61
4913.52,0.0,77.62,80.4,-571.88,-118.27,-124.63,-9111.5,-4.64,0.0
4926.32,0.0,82.47,76.51,-538.42,-236.54,-238.49,-9090.35,34.17,-135.75
4939.38,0.0,61.71,66.64,-566.1,-335.1,-344.16,-8202.66,29.29,-133.11
4952.38,0.0,52.71,56.88,-589.5,-433.66,-440.72,-7474.6,26.32,-131.51
4965.39,0.0,48.56,48.97,-591.82,-492.8,-511.31,-6282.97,19.63,-127.9
4978.32,0.0,40.26,40.93,-595.63,-532.22,-556.98,-4912.65,3.34,0.0
4990.97,0.0,34.03,33.63,-593.38,-571.65,-591.13,-4006.18,-5.94,120.51
5003.84,0.0,36.1,29.68,-557.35,-611.07,-624.04,-3516.95,6.6,-120.87
5016.72,0.0,49.25,32.27,-462.04,-650.49,-658.24,-3081.93,48.56,-143.52
5029.6,0.0,28.49,27.11,-454.3,-670.21,-681.58,-1895.7,36.09,-136.79
5042.49,0.0,36.8,26.93,-398.94,-670.21,-684.9,-738.35,41.58,-139.75
5055.3,0.0,24.34,22.74,-389.97,-650.49,-668.49,638.84,17.47,-126.74
5068.15,0.0,36.8,24.69,-322.04,-630.78,-642.89,1418.83,27.91,-132.37
5081.01,0.0,28.49,23.45,-293.76,-611.07,-616.64,2057.18,22.22,-129.3
5093.87,0.0,20.19,19.86,-291.92,-571.65,-579.25,2705.39,1.36,0.0
5106.49,0.0,20.19,17.64,-277.64,-532.22,-537.51,2957.88,-8.7,122.0
5119.3,0.0,24.34,17.83,-241.1,-492.8,-495.59,2959.4,-4.45,0.0
5131.91,0.0,23.65,18.02,-209.54,-473.09,-467.02,2630.02,6.11,-120.6
5144.71,0.0,29.18,20.4,-160.22,-453.37,-445.16,2352.68,26.19,-131.44
5157.55,0.0,20.19,19.01,-153.64,-433.66,-425.98,2381.25,22.63,-129.52
5170.41,0.0,19.5,17.94,-144.89,-394.24,-394.7,2719.75,12.48,-124.04
5183.26,0.0,20.19,17.58,-130.23,-354.81,-356.83,2984.25,4.65,0.0
5195.88,0.0,20.19,17.49,-115.07,-315.39,-316.94,3116.95,-1.31,0.0
5208.51,0.0,31.95,21.85,-58.35,-275.97,-276.63,3128.17,14.19,-124.96
5221.36,0.0,36.8,26.83,-2.42,-236.54,-236.5,3325.54,27.06,-131.91
5234.13,0.0,24.34,25.9,-11.18,-197.12,-195.86,3647.42,7.91,-121.57
5246.88,0.0,20.88,23.98,-28.57,-157.7,-154.26,3606.15,-10.17,122.79
5259.73,0.0,32.64,26.91,3.62,-98.56,-102.4,3633.06,-8.61,121.95
5272.42,0.0,43.72,33.08,63.34,-59.14,-57.97,3462.09,11.05,-123.27
5285.1,0.0,29.88,32.42,49.08,-39.42,-29.03,3156.13,2.24,0.0
5297.56,0.0,45.1,37.44,92.09,-19.71,-7.39,2642.62,25.25,-130.93
5310.24,0.0,45.1,40.98,115.23,19.71,22.33,2876.76,26.04,-131.36
5322.98,0.0,32.64,38.86,80.31,59.14,59.08,3242.18,-4.07,0.0
5335.42,0.0,36.1,38.49,66.91,98.56,98.91,3171.39,-18.59,127.34
5348.14,0.0,48.56,42.71,99.75,137.98,138.51,2889.63,-8.17,121.71
5360.9,0.0,45.1,44.39,103.74,157.7,164.95,2455.16,-5.5,120.27
5373.68,0.0,40.95,43.97,86.75,157.7,173.55,1678.55,-3.08,0.0
5386.21,0.0,45.1,45.07,86.89,157.7,172.83,967.99,8.58,-121.93
5398.94,0.0,57.56,50.33,127.42,157.7,168.96,589.93,35.11,-136.26
5411.75,0.0,49.25,50.98,117.74,177.41,177.04,1097.97,22.05,-129.21
5424.6,0.0,40.26,48.02,74.15,197.12,194.67,1515.81,-8.13,121.69
5437.35,0.0,40.95,46.04,45.58,216.83,215.67,1453.91,-25.27,130.94
5450.13,0.0,46.48,46.57,45.09,216.83,223.98,785.08,-17.14,126.55
5462.89,0.0,45.1,46.4,37.8,236.54,235.5,592.28,-20.16,128.19
5475.66,0.0,53.4,49.26,61.04,236.54,239.22,192.79,-3.8,0.0
5488.21,0.0,65.17,55.56,114.98,216.83,227.01,-308.75,32.76,-134.99
5501.04,0.0,61.71,58.74,131.64,216.83,219.38,38.2,38.35,-138.01
5513.84,0.0,70.01,63.93,165.79,216.83,218.08,520.01,48.74,-143.62
5526.68,0.0,70.01,67.5,179.89,216.83,220.08,1060.53,48.28,-143.37
5539.58,0.0,65.17,68.12,163.31,256.26,247.02,2148.8,19.02,-127.57
5552.51,0.0,70.01,70.15,162.52,295.68,287.12,2795.74,0.4,0.0
5565.17,0.0,65.86,69.89,139.9,315.39,318.31,2672.21,-14.78,125.28
5578.08,0.0,61.71,68.05,104.3,354.81,353.99,2500.05,-36.64,137.09
5590.99,0.0,70.01,69.62,106.5,374.53,379.34,1770.29,-30.06,133.53
5603.88,0.0,61.71,67.6,73.42,374.53,385.87,845.91,-32.47,134.83
5616.68,0.0,65.86,67.56,63.86,374.53,383.62,-10.13,-22.92,129.67
5629.41,0.0,57.56,64.42,25.31,374.53,378.21,-491.61,-31.96,134.56
5642.2,0.0,49.25,59.09,-29.9,354.81,361.83,-1248.35,-42.33,140.16
