time_in_ms,raw_offset,offset,raw_offset_vel,offset_vel,raw_rot,rot,raw_rot_vel,rot_vel,P_trace,pwm_model,pwm_real
2106.3,-13.03,-37.04,352.09,90.45,-78.85,-68.59,-1583.46,-1414.7,7700.0,35.38,-136.4
2118.33,-13.03,-33.44,299.49,111.35,-98.56,-88.07,-1619.87,-1527.55,7700.0,54.59,-146.78
2130.33,-9.57,-29.86,298.4,130.06,-98.56,-94.89,-568.26,-999.94,7700.0,56.45,-147.78
2142.34,-4.72,-26.09,313.99,148.45,-78.85,-84.46,868.26,27.57,7700.0,43.25,-140.65
2154.35,-9.57,-23.61,206.38,154.24,-59.14,-68,1370.91,766.41,7700.0,28.35,-132.61
2166.37,-13.03,-22.02,132.02,152.02,-39.42,-49.43,1544.79,1194.52,7700.0,15.34,-125.58
2178.41,-0.57,-18.81,267.34,163.55,-19.71,-30.11,1604.63,1420.08,7700.0,12.6,-124.1
2190.43,16.04,-13.58,434.8,190.68,19.71,2.27,2694.32,2120.91,7700.0,3.93,0.00
2202.43,20.19,-8.52,421.96,213.8,59.14,39.23,3079.03,2647.88,7700.0,-4.14,0.00
2214.45,3.58,-6.7,150.98,207.52,98.56,77.8,3209.18,2956.59,7700.0,-21.83,129.09
2226.46,-1.26,-5.89,67.89,193.56,118.27,104.11,2190.25,2535.11,7700.0,-24.95,130.77
2238.5,-8.88,-6.33,-37.28,170.47,137.98,126.13,1829.58,2147.07,7700.0,-31.93,134.54
2250.52,-9.57,-6.82,-40.34,149.39,137.98,133.83,640.79,1318.61,7700.0,-25.2,130.91
2262.52,-0.57,-5.88,78.08,142.26,137.98,136.53,224.8,717.01,7700.0,-15.24,125.53
2274.53,-5.42,-5.81,5.82,128.62,118.27,124.66,-988.73,-221.14,7700.0,2.67,0.00
2286.56,-5.42,-5.75,4.93,116.25,118.27,120.51,-345.13,-289.34,7700.0,1.27,0.00
2298.6,-5.42,-5.7,4.19,105.04,118.27,119.05,-120.84,-196.66,7700.0,-3.79,0.00
2310.62,-4.72,-5.56,12.2,95.76,118.27,118.55,-42.34,-111.78,7700.0,-8.23,121.74
2322.63,-4.72,-5.43,10.38,87.22,118.27,118.37,-14.83,-58.46,7700.0,-11.91,123.73
2334.64,-9.57,-6.05,-51.68,73.33,118.27,118.31,-5.19,-29.16,7700.0,-17.79,126.91
2346.66,-8.88,-6.48,-35.24,62.47,98.56,105.47,-1067.42,-600.2,7700.0,-6.6,120.86
2358.68,-4.72,-6.21,21.85,58.41,78.85,88.17,-1439.69,-1061.92,7700.0,6.8,-120.97
2370.71,-5.42,-6.09,9.93,53.56,59.14,69.3,-1568.8,-1340.7,7700.0,16.57,-126.25
2382.73,7.04,-4.12,163.83,64.59,59.14,62.69,-549.25,-905.41,7700.0,15.79,-125.83
2394.76,-17.87,-6.19,-171.41,40.99,59.14,60.38,-192.12,-513.1,7700.0,-1.56,0.00
2406.76,-13.03,-7.21,-85.53,28.34,59.14,59.57,-67.42,-267.97,7700.0,-11.6,123.56
2418.79,7.73,-4.97,186.42,44.15,59.14,59.29,-23.55,-133.54,7700.0,-6.36,120.74
2430.8,-9.57,-5.66,-57.4,33.99,59.14,59.19,-8.25,-64.63,7700.0,-11.87,123.71
2442.81,-17.87,-7.49,-152.55,15.34,39.42,46.34,-1069.91,-617.53,7700.0,-5.26,120.14
2454.83,-13.03,-8.32,-69.09,6.9,19.71,29.03,-1440.06,-1069.92,7700.0,5.23,-120.12
2466.87,-4.72,-7.78,44.84,10.69,19.71,22.97,-503.34,-758.3,7700.0,2.7,0.00
2478.89,11.88,-4.83,245.34,34.15,19.71,20.85,-176.34,-438.23,7700.0,8.12,-121.69
2490.9,11.88,-2.33,208.88,51.63,39.42,32.92,1005.54,355.84,7700.0,-2.68,0.00
2502.91,11.88,-0.19,177.38,64.2,39.42,37.15,351.6,353.51,7700.0,2.74,0.00
2514.94,8.42,1.1,107.51,68.53,59.14,51.44,1188.58,812.8,7700.0,-7.79,121.51
2526.96,-0.57,0.85,-20.84,59.6,59.14,56.44,415.86,594.48,7700.0,-8.16,121.71
2538.98,-8.88,-0.61,-121.43,41.49,39.42,45.38,-920.92,-238.99,7700.0,4.14,0.00
2551.,-15.8,-2.89,-189.5,18.39,39.42,41.51,-322.1,-284.7,7700.0,-4.07,0.00
2563.04,-21.33,-5.66,-229.78,-6.42,39.42,40.15,-112.55,-190.02,7700.0,-16.98,126.47
