time_in_ms,ref_offset,raw_offset,offset,offset_vel,raw_rotation,rotation,rotation_vel,pwm_model,pwm_real
2999.06,0.0,-208.0,-18.91,0.0,0.0,0.0,0.0,-13.24,124.45
3039.98,0.0,-208.0,-49.6,-38.01,0.0,0.0,-592.23,-41.05,139.46
3052.38,0.0,11.19,-36.94,-5.26,-19.71,-12.57,-1332.18,-4.84,0.0
3064.74,0.0,11.88,-24.72,40.47,-19.71,-24.03,-1232.46,23.38,-129.93
3077.42,0.0,16.04,-13.01,94.98,-19.71,-28.16,-548.77,44.16,-141.14
3090.06,0.0,16.04,-3.52,143.96,0.0,-14.55,691.2,48.39,-143.43
3102.56,0.0,11.19,2.33,171.41,19.71,9.13,1812.4,40.72,-139.29
3115.17,0.0,11.19,6.67,187.8,59.14,47.95,2862.8,24.86,-130.72
3127.78,0.0,7.73,8.6,184.26,78.85,80.98,3111.65,12.8,-124.21
3140.34,0.0,3.58,8.4,162.79,118.27,119.02,3254.71,-7.58,121.39
3152.95,0.0,2.89,7.82,139.37,177.41,170.28,3464.64,-33.32,135.29
3165.61,0.0,-1.26,5.75,104.39,216.83,215.73,3052.11,-53.93,146.42
3178.28,0.0,3.58,5.83,92.78,236.54,243.86,1982.25,-49.51,144.03
3190.84,0.0,-4.72,2.79,53.03,236.54,249.77,718.0,-50.05,144.33
3203.38,0.0,7.04,4.75,65.37,236.54,245.66,-370.67,-26.39,131.55
3215.91,0.0,-0.57,3.34,44.0,236.54,238.38,-813.3,-27.45,132.12
3228.45,0.0,-1.26,2.02,25.91,216.83,221.49,-1395.33,-22.66,129.54
3241.09,0.0,17.42,7.83,79.0,216.83,211.51,-1473.34,6.31,-120.71
3253.75,0.0,11.88,9.94,89.8,177.41,183.75,-1665.95,21.93,-129.14
3266.36,0.0,-8.88,3.8,19.08,177.41,171.39,-1097.7,-16.09,125.99
3278.94,0.0,0.81,2.86,7.6,177.41,169.27,-959.71,-22.88,129.65
3291.46,0.0,7.73,4.7,24.56,197.12,180.76,-550.62,-23.81,130.16
3304.0,0.0,-0.57,2.97,4.71,197.12,187.57,-455.54,-36.1,136.79
3316.49,0.0,0.12,1.97,-5.65,177.41,179.24,-1029.75,-30.25,133.63
3329.05,0.0,-4.03,-0.27,-26.77,157.7,161.23,-1601.13,-27.19,131.98
3341.66,0.0,0.81,-0.09,-21.72,137.98,139.24,-2031.33,-13.09,124.37
3354.29,0.0,3.58,1.08,-7.68,118.27,116.35,-2127.1,0.5,0.0
3366.58,0.0,-13.03,-4.13,-57.59,78.85,83.51,-2326.19,-11.92,123.73
3379.13,0.0,-0.57,-3.29,-42.33,59.14,57.15,-2402.18,2.51,0.0
3391.39,0.0,-13.03,-7.18,-75.17,39.42,34.61,-2156.16,-11.4,123.46
3403.94,0.0,-8.88,-8.4,-77.86,19.71,14.73,-2092.47,-9.32,122.33
3416.41,0.0,-8.88,-9.19,-76.11,0.0,-4.67,-2013.41,-5.51,120.27
3428.71,0.0,-25.48,-15.73,-130.84,-19.71,-23.7,-1911.33,-28.75,132.83
3441.37,0.0,-17.18,-17.31,-130.09,-59.14,-54.52,-2512.92,-12.83,124.23
3454.08,0.0,-5.42,-14.02,-81.81,-78.85,-81.98,-2553.16,16.26,-126.08
3466.68,0.0,-8.88,-12.8,-59.81,-118.27,-116.58,-2404.0,32.32,-134.75
3479.34,0.0,-19.95,-15.89,-82.6,-137.98,-141.68,-1793.33,18.16,-127.11
3492.05,0.0,-17.87,-17.28,-85.93,-137.98,-148.86,-1060.87,6.66,-120.9
3504.72,0.0,-19.95,-18.95,-91.56,-118.27,-136.34,-170.88,-13.24,124.45
3517.36,0.0,-29.64,-23.58,-125.54,-98.56,-114.95,369.89,-43.53,140.81
3529.99,0.0,-30.33,-27.05,-143.92,-78.85,-91.74,338.08,-58.64,148.97
3542.53,0.0,-30.33,-29.4,-149.15,-78.85,-82.4,-309.29,-55.0,147.0
3555.13,0.0,-25.48,-29.16,-128.52,-98.56,-93.53,-1288.89,-29.11,133.02
3567.79,0.0,-22.02,-27.59,-97.3,-118.27,-114.82,-1844.48,-1.86,0.0
3580.23,0.0,-26.18,-27.84,-87.96,-137.98,-137.89,-1873.8,7.91,-121.57
